company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
ticketsource,Absolutely Ideal for Amateur Theatre Groups,Laurie R.,Chairman,,,NGC,Source: Capterra,9-Oct-14,4,4,3,4,5,10,"Comments: The TicketSource site is quite the best I have found for on-line booking for our shows. We are just starting to accept bookings on line and were very nervous about the things that could go wrong leaving our customers frustrated and angry. I am pleased to say that nothing like this has happened and the feedback we have had so far is very favourable. The reports that are readily available keep us in control of the sales and monitor their progress. The detailed financial reports and the prompt payment of receipts are a boon to our treasurer. I particularly like the way we can integrate the on-line sales with our over the counter sales as many of our older patrons are uneasy about using computers to buy things on-line.The facilities in the software range from very simple to the most elaborate you could imagine.I would not hesitate to recommend this site to any Amateur Groups.",,,,
ticketsource,Cygnet Players Review,Katy G.,Deputy Chairman,,,NGC,Source: Capterra,8-Oct-14,4,4,3,3,5,10,Comments: I think Ticketsource is a very good website for amateur companies to use. The seating plan side of things is quite difficult to create but once you have the main template for your theatre its great that this is added top you account and reused.,,,,
ticketsource,Great service!,Charlie C.,Director of Finance,,,NGC,Source: Capterra,8-Oct-14,5,4,3,5,5,10,"Comments: We've been using TicketSource for a few years now for our amateur theatre, and have been very happy with the service. It's pretty simple to use, and a lot of extra functionality has been added since we started using it. Unlike Microsoft, however, they don't completely rewrite the interface every time they make a change! One of the unexpected side-effects of migrating to online ticketing is that, because they can see how many tickets are still available, our patrons often leave it to the last minute before booking, which gives some directors sleepless nights!In our experience, customer service has been brilliant. We haven't experienced many problems, but any issues or questions raised have alway been dealt with very promptly, and the technical staff seem to very be open to sensible changes requested by their customers.",,,,
ticketsource,Great Service,Mark F.,Chairman,,,NGC,Source: Capterra,8-Oct-14,5,4,3,4,5,10,Comments: This is such a useful service for small organisations who want to sell tickets over the internet. We are a small amateur drama society who do no more than å£4000 a year ticket revenue but find it is well worth while. It is very flexible and if you are reasonably comfortable with using the web it should not take more than an hour to learn how to use it.,,,,
ticketsource,"User-friendly, pro quality ticketing site",Mark N.,Musician,"Entertainment, Self-employed",Used the software for: 1-2 years,NGC,Source: Capterra,9-Feb-17,5,5,5,5,4,10,,Pros: It is comprehensively able to take care of all of my needs.,Cons: My previous criticisms were answered satisfactorily by customer services.,"Overall: Ticketsource has all the functionality I could possibly want from a ticketing site, and is user-friendly to boot. I run uk based events and find it far superior to any other ticketing site I've used. The fees are reasonable, especially for higher priced events. Would thoroughly recommend.","Recommendations to other buyers: No... use it, it's great."
ticketsource,Very pleased!,Rose -Marie O.,Programming/marketing officer,,,NGC,Source: Capterra,7-Oct-14,5,5,5,5,4,10,"Comments: I have been using ticket source on behalf of The Kings Hall and can say just how pleased I am with the service. It's very easy to use - customers have given great feedback and I've been able to edit events with no fuss. On a couple of occasions I have called the help line and they have been very quick to answer - no long waits which is so often the case with other companies and they have been able to advise and sort my question straight away. If I have to mention an improvement I would only say it would be good to see our events go out in their Twitter feeds occasionally. Overall, top marks!",,,,
ticketsource,Good but customer service could be improved.,Annabelle L.,,,,NGC,Source: Capterra,12-Jan-17,4,4,4,3,4,10,"Comments: I find you site easy to use once you know what you are doing but it would be nice if there is a guide on how to use Ticket Source. If there is already one, I couldn't find it so you might want to make it easily accessible especially when people first sign up.",,,,
ticketsource,Excellent ticketing experience for us!,Benoy I.,,,,NGC,Source: Capterra,2-Feb-17,5,4,5,5,4,10,"Comments: We've just used ticketsource for our first event and it was a fantastic experience for our admin users and our clients using it to book the event. Easy to setup, simple to use and it has some great features too. The only two improvements I would suggest is with the free scanning app for iOS and Android where it was sometimes a 'hit & miss'. The other improvement could be with the 'refund' process where one can only refund in full and part refund requires ringing in to their support rather than having to deal with it ourselves online. But overall it was an excellent experience for us and we will certainly be using them again! Highly recommended!",,,,
ticketsource,Penarth Operatic & Dramatic Society,Michael J.,,,,NGC,Source: Capterra,11-Jan-17,5,5,5,5,4,10,"Comments: As a society we started using TicketSource a few years when we started our website.We were told about it by another local company ( Concept Players ) and I was charged with finding out what they could for us. I went to the website and the site was simple and informative and within minutes I had all information for me to advise the committee about it. The commttee deceided to use them and I was instructed to to go ahead and I then went back to the website and within minutes I had arranged an account and it did not take long to get our tickets online. The tickets sell well and we can get all the information about our ticket sales and at the end of the sales period the money is transfered to our bank account with no fuss.It would be fair to say that they offer a first class service with no fuss and if you need any help then it is only an email or phone call to get it sorted.",,,,
ticketsource,Bath beer festival boost,Martin A.,,,,NGC,Source: Capterra,11-Jan-17,5,5,5,5,4,10,"Comments: I researched reviews of on-line ticketing services before selecting TicketSource to sell beer festival tickets, based on the experience of other Campaign for Real Ale users. Even though I was a first time user of on-line ticketing, I was pleased by the ease with which I could set up details for the event. I used the system at a basic level but there is plenty of scope for more sophistication, for example, bar code scanning. Over 70% of our tickets were sold via TicketSource.",,,,
